,date_time,maxtempC,mintempC,tempC,FeelsLikeC,windspeedKmph,WindGustKmph,cloudcover,uvIndex,pressure,humidity
2550,2015-12-26,27.0,14.0,19.541666666666668,19.083333333333332,8.5,18.208333333333332,0.0,5.0,1017.7083333333334,28.291666666666668
2551,2015-12-27,28.0,15.0,20.625,20.166666666666668,10.5,19.958333333333332,0.0,6.0,1018.2083333333334,25.791666666666668
2552,2015-12-28,28.0,17.0,22.083333333333332,21.666666666666668,10.208333333333334,20.75,0.5833333333333334,6.0,1017.6666666666666,29.5
2553,2015-12-29,29.0,16.0,22.458333333333332,21.875,5.75,15.708333333333334,3.0416666666666665,6.0,1013.5833333333334,35.708333333333336
2554,2015-12-30,32.0,18.0,24.416666666666668,23.75,7.666666666666667,15.333333333333334,1.25,6.0,1015.0416666666666,28.416666666666668
2555,2015-12-31,32.0,19.0,24.458333333333332,23.791666666666668,8.0,15.041666666666666,0.0,6.0,1016.0416666666666,29.5
2556,2016-01-01,33.0,19.0,24.958333333333332,24.416666666666668,6.625,13.458333333333334,0.0,6.0,1017.5,32.083333333333336
2557,2016-01-02,32.0,20.0,25.041666666666668,24.541666666666668,5.041666666666667,10.5,0.625,7.0,1017.9166666666666,35.958333333333336
2558,2016-01-03,32.0,19.0,24.416666666666668,23.708333333333332,4.083333333333333,8.458333333333334,0.0,6.0,1016.375,31.125
2559,2016-01-04,30.0,18.0,22.916666666666668,22.625,5.625,12.208333333333334,5.833333333333333,6.0,1014.0833333333334,41.458333333333336
2560,2016-01-05,32.0,19.0,23.958333333333332,23.75,5.958333333333333,11.833333333333334,2.5416666666666665,6.0,1015.0416666666666,39.166666666666664
2561,2016-01-06,31.0,18.0,23.583333333333332,23.375,5.458333333333333,9.125,3.2083333333333335,6.0,1015.2083333333334,40.333333333333336
2562,2016-01-07,31.0,18.0,23.416666666666668,23.208333333333332,6.666666666666667,11.708333333333334,16.25,6.0,1016.125,44.041666666666664
2563,2016-01-08,31.0,18.0,23.25,23.0,5.208333333333333,10.791666666666666,11.166666666666666,6.0,1016.3333333333334,39.833333333333336
2564,2016-01-09,31.0,19.0,23.625,23.375,5.25,11.0,1.4166666666666667,6.0,1014.5416666666666,35.125
2565,2016-01-10,30.0,18.0,23.375,23.0,5.416666666666667,10.833333333333334,2.375,6.0,1014.9583333333334,36.541666666666664
2566,2016-01-11,31.0,18.0,23.541666666666668,23.125,5.291666666666667,11.791666666666666,3.0416666666666665,6.0,1015.0,36.291666666666664
2567,2016-01-12,30.0,17.0,22.958333333333332,22.708333333333332,5.041666666666667,9.958333333333334,1.7083333333333333,6.0,1013.5416666666666,40.875
2568,2016-01-13,31.0,18.0,22.916666666666668,22.791666666666668,5.0,9.875,2.0833333333333335,6.0,1012.7083333333334,43.208333333333336
2569,2016-01-14,30.0,17.0,22.375,22.208333333333332,5.625,10.958333333333334,1.2916666666666667,6.0,1012.5,52.5
2570,2016-01-15,29.0,15.0,21.333333333333332,21.333333333333332,5.708333333333333,10.916666666666666,10.541666666666666,6.0,1012.375,52.833333333333336
2571,2016-01-16,28.0,16.0,21.0,21.166666666666668,5.916666666666667,12.75,17.75,6.0,1012.25,57.375
2572,2016-01-17,27.0,16.0,20.333333333333332,20.416666666666668,6.75,12.791666666666666,2.9166666666666665,6.0,1011.7083333333334,57.166666666666664
2573,2016-01-18,27.0,14.0,20.083333333333332,20.041666666666668,7.458333333333333,13.333333333333334,4.833333333333333,5.0,1011.4583333333334,54.625
2574,2016-01-19,28.0,14.0,20.0,19.791666666666668,6.208333333333333,13.458333333333334,3.625,5.0,1012.4583333333334,44.875
2575,2016-01-20,27.0,16.0,20.5,20.208333333333332,6.75,12.25,0.0,6.0,1014.4583333333334,31.291666666666668
2576,2016-01-21,27.0,15.0,20.0,19.916666666666668,8.791666666666666,17.666666666666668,1.2083333333333333,5.0,1015.6666666666666,37.416666666666664
2577,2016-01-22,28.0,15.0,21.0,20.708333333333332,9.416666666666666,18.25,1.5,6.0,1015.8333333333334,36.166666666666664
2578,2016-01-23,29.0,16.0,21.916666666666668,21.791666666666668,8.291666666666666,16.916666666666668,4.166666666666667,6.0,1015.8333333333334,38.208333333333336
2579,2016-01-24,31.0,17.0,23.166666666666668,22.958333333333332,5.791666666666667,14.166666666666666,9.041666666666666,6.0,1015.375,35.916666666666664
2580,2016-01-25,32.0,18.0,23.833333333333332,23.416666666666668,4.791666666666667,10.708333333333334,0.9583333333333334,6.0,1013.7083333333334,36.833333333333336
2581,2016-01-26,33.0,18.0,24.166666666666668,23.666666666666668,5.458333333333333,10.541666666666666,1.0833333333333333,6.0,1013.5416666666666,36.333333333333336
2582,2016-01-27,33.0,18.0,24.041666666666668,23.416666666666668,5.416666666666667,10.541666666666666,0.20833333333333334,6.0,1013.9583333333334,32.5
2583,2016-01-28,33.0,19.0,25.041666666666668,24.333333333333332,6.125,10.791666666666666,0.0,7.0,1014.0833333333334,24.083333333333332
2584,2016-01-29,33.0,19.0,25.458333333333332,24.875,6.916666666666667,10.875,0.0,7.0,1015.2083333333334,30.125
2585,2016-01-30,34.0,20.0,26.333333333333332,25.833333333333332,4.958333333333333,10.416666666666666,0.0,7.0,1015.0,29.708333333333332
2586,2016-01-31,36.0,20.0,26.5,26.208333333333332,4.791666666666667,10.458333333333334,0.0,7.0,1014.2916666666666,31.041666666666668
2587,2016-02-01,34.0,20.0,26.458333333333332,26.291666666666668,4.625,10.416666666666666,0.375,7.0,1014.4583333333334,30.333333333333332
